Name,Address,Average Rating,Number of Ratings,Price Level
The Westgate Room Restaurant,"1055 2nd Avenue, San Diego",4.7,56,3
Afternoon Tea at The Westgate Hotel,"1055 2nd Avenue, San Diego",,,
taqueria chivis,"226 Broadway, San Diego",1,1,
Grabbagreen Food + Juice,"222 Broadway, San Diego",4.4,113,2
JA Java,"202 C Street, San Diego",,,
The Local Eatery & Drinking Hole,"1065 Fourth Avenue, San Diego",4.5,809,2
Citizen Rail,"428 C Street #203, San Diego",,,
Mendocino Farms,"180 Broadway Suite 102, San Diego",4.5,66,2
THE WING CLUB,"356, San Diego",1,1,
Placek,"998 Fourth Avenue, San Diego",,,
Ramapda,San Diego,,,
Sushi 2,"135 Broadway, San Dieg+C1o",4.2,1638,1
Coal Bros Taqueria,"407 C Street, San Diego",4.9,71,
Dunkin',"225 Broadway Ste 100, San Diego",4.1,379,1
Dobson's Bar & Restaurant,"956 Broadway Circle, San Diego",4.6,349,3
Grab & Go Subs,"109 West C Street # A, San Diego",4.6,193,1
Gaslamp Fish House,"411 Broadway, San Diego",4.2,1248,2
Lucys Taco Shop,"109 West C Street, San Diego",4.4,213,1
Brooklyn Dogs,"1200 Third Avenue, San Diego",4.4,8,
Marty's Sabawan,"1200 Third Avenue # 310, San Diego",,,
Corner Bakery Cafe,"101 Broadway, San Diego",4.2,682,1
Tender Greens,"110 West Broadway, San Diego",4.4,840,2
Thai time Downtown,"936 Broadway Circle, San Diego",4,75,2
Ogawashi,"1100 Fifth Avenue, San Diego",4,392,2
Panera Bread,"225 Broadway Circle Suite 160, San Diego",4.1,650,2
Phantom Lounge and Nightclub,"1014 Fifth Avenue #140, San Diego",3,44,
Tapas & Beers,"926 Broadway Circle, San Diego",4.5,193,2
Senor Taquero,"435 Broadway, San Diego",4.5,374,1
Rei Do Gado Brazilian Steak House & Seafood,"939 Fourth Avenue, San Diego",4.5,2115,3
American Brasserie,United States,,,
Chipotle Mexican Grill,"101 West Broadway Ste 150, San Diego",4.2,811,1
BBQ Boss,"1017 Front Street, San Diego",4.6,31,
Al Teatro Panini Grill,"1254 Third Avenue, San Diego",4.6,48,1
The Nines,"905 Fourth Avenue, San Diego",,,
5th Ave New York Pizza,"954 Fifth Avenue, San Diego",3.8,179,1
Curadero,"1047 Fifth Avenue, San Diego",4.3,266,3
Fogo de chai,"Fogo de chao, San Diego",,,
Full Moon SD,"926 Fifth Avenue, San Diego",4.4,522,2
Great Wall Express,"501 Broadway, San Diego",3.8,226,1
Crab Hut,"1007 Fifth Avenue #101, San Diego",4.4,1496,2
Mete Supper Club,"905 Fourth Ave, 420 E Street, San Diego",,,
China Too Restaurant,"916 Fifth Avenue, San Diego",3.6,224,1
Pinzimini,"910 Broadway Circle, San Diego",4.1,57,2
Ta,San Diego,,,
Inkazteca Mexican Cuisine,"431 E Street, San Diego",,,
Eye-Ris On E,"431 E Street, San Diego",,,2
Coastal Cantina,"431 E Street, San Diego",4.3,36,2
Bandar Restaurant,"845 Fourth Avenue, San Diego",4.1,569,
Starbucks,"1194 Sixth Avenue, San Diego",4.2,224,2
The Melting Pot,"901 Fifth Avenue, San Diego",4.5,764,3
Gaslamp Tavern,"868 Fifth Avenue, San Diego",4.4,751,2
Tony's Pizza,"433 E Street, San Diego",3.5,175,1
Ghost Fried Chicken,"868 Fifth Avenue, San Diego",3.9,18,